date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 09:36:56	0 Hz	0 W	1,4E2 mbar	6,7E1 mbar
2021-05-15, 09:36:58	0 Hz	0 W	9,7E1 mbar	6,2E1 mbar
2021-05-15, 09:37:00	0 Hz	0 W	7,6E1 mbar	5,3E1 mbar
2021-05-15, 09:37:02	0 Hz	0 W	6,4E1 mbar	4,4E1 mbar
2021-05-15, 09:37:04	0 Hz	0 W	5,4E1 mbar	3,8E1 mbar
2021-05-15, 09:37:06	0 Hz	0 W	4,4E1 mbar	3,5E1 mbar
2021-05-15, 09:37:08	0 Hz	0 W	3,8E1 mbar	3,2E1 mbar
2021-05-15, 09:37:10	0 Hz	0 W	3,4E1 mbar	2,8E1 mbar
2021-05-15, 09:37:12	0 Hz	0 W	3,2E1 mbar	2,4E1 mbar
2021-05-15, 09:37:14	0 Hz	0 W	2,8E1 mbar	1,9E1 mbar
2021-05-15, 09:37:16	0 Hz	0 W	2,3E1 mbar	1,8E1 mbar
2021-05-15, 09:37:18	0 Hz	0 W	1,9E1 mbar	1,7E1 mbar
2021-05-15, 09:37:20	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2021-05-15, 09:37:22	0 Hz	0 W	1,6E1 mbar	1,4E1 mbar
2021-05-15, 09:37:24	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2021-05-15, 09:37:26	0 Hz	0 W	1,3E1 mbar	1,1E1 mbar
2021-05-15, 09:37:28	0 Hz	0 W	1,2E1 mbar	9,9E0 mbar
2021-05-15, 09:37:30	0 Hz	0 W	1E1 mbar	9,2E0 mbar
2021-05-15, 09:37:32	0 Hz	0 W	9,7E0 mbar	8,8E0 mbar
2021-05-15, 09:37:34	0 Hz	0 W	9,1E0 mbar	8,2E0 mbar
2021-05-15, 09:37:36	0 Hz	0 W	8,5E0 mbar	7,6E0 mbar
2021-05-15, 09:37:38	0 Hz	0 W	8E0 mbar	7,2E0 mbar
2021-05-15, 09:37:40	0 Hz	0 W	7,5E0 mbar	6,8E0 mbar
2021-05-15, 09:37:42	0 Hz	0 W	7,2E0 mbar	6,6E0 mbar
2021-05-15, 09:37:44	0 Hz	0 W	6,8E0 mbar	6,4E0 mbar
2021-05-15, 09:37:46	0 Hz	0 W	6,6E0 mbar	6,2E0 mbar
2021-05-15, 09:37:48	0 Hz	0 W	6,4E0 mbar	6E0 mbar
2021-05-15, 09:37:50	0 Hz	0 W	6,2E0 mbar	5,8E0 mbar
2021-05-15, 09:37:52	0 Hz	0 W	6E0 mbar	5,6E0 mbar
2021-05-15, 09:37:54	0 Hz	0 W	5,9E0 mbar	5,5E0 mbar
2021-05-15, 09:37:56	0 Hz	0 W	5,7E0 mbar	5,3E0 mbar
2021-05-15, 09:37:58	0 Hz	0 W	5,6E0 mbar	5,1E0 mbar
2021-05-15, 09:38:00	0 Hz	0 W	5,4E0 mbar	5E0 mbar
2021-05-15, 09:38:02	0 Hz	0 W	5,3E0 mbar	4,9E0 mbar
2021-05-15, 09:38:04	0 Hz	0 W	5,2E0 mbar	4,7E0 mbar
2021-05-15, 09:38:06	0 Hz	0 W	5E0 mbar	4,6E0 mbar
2021-05-15, 09:38:08	0 Hz	0 W	4,9E0 mbar	4,5E0 mbar
2021-05-15, 09:38:10	0 Hz	0 W	4,8E0 mbar	4,4E0 mbar
2021-05-15, 09:38:12	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2021-05-15, 09:38:14	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2021-05-15, 09:38:16	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2021-05-15, 09:38:18	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2021-05-15, 09:38:20	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2021-05-15, 09:38:22	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2021-05-15, 09:38:24	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2021-05-15, 09:38:26	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2021-05-15, 09:38:28	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2021-05-15, 09:38:30	0 Hz	0 W	3,9E0 mbar	3,8E0 mbar
2021-05-15, 09:38:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-05-15, 09:38:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-05-15, 09:38:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-05-15, 09:38:38	0 Hz	0 W	3,8E0 mbar	3,7E0 mbar
2021-05-15, 09:38:40	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-05-15, 09:38:42	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-05-15, 09:38:44	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-05-15, 09:38:46	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-05-15, 09:38:48	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:38:50	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:38:52	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:38:54	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:38:56	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:38:58	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:39:00	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-05-15, 09:39:02	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2021-05-15, 09:39:04	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:06	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:08	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:10	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:12	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:14	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:16	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:18	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:20	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:39:22	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:24	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:26	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:28	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:30	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:32	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:34	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:36	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:38	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:40	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:42	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:44	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:46	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:48	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:50	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:52	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:54	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:56	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:39:58	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2021-05-15, 09:40:00	0 Hz	0 W	3,4E0 mbar	3,3E0 mbar
2021-05-15, 09:40:02	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:04	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:06	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:08	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:10	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:12	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:14	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:16	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:18	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:20	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:22	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:24	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:26	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:28	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:30	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:32	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:34	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:36	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:38	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:40	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:42	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:44	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:46	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:48	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:50	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:52	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2021-05-15, 09:40:54	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
