date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 10:02:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:02:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:03:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:04:46	0 Hz	0 W	1E3 mbar	6,6E2 mbar
2021-05-15, 10:04:48	0 Hz	0 W	1E3 mbar	5E2 mbar
2021-05-15, 10:04:50	0 Hz	0 W	1E3 mbar	3,8E2 mbar
2021-05-15, 10:04:52	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2021-05-15, 10:04:54	0 Hz	0 W	1E3 mbar	2,4E2 mbar
2021-05-15, 10:04:56	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2021-05-15, 10:04:58	0 Hz	0 W	6,4E2 mbar	1,6E2 mbar
2021-05-15, 10:05:00	0 Hz	0 W	3,9E2 mbar	1,3E2 mbar
2021-05-15, 10:05:02	0 Hz	0 W	2,8E2 mbar	1E2 mbar
2021-05-15, 10:05:04	0 Hz	0 W	1,8E2 mbar	8,7E1 mbar
2021-05-15, 10:05:06	0 Hz	0 W	1,4E2 mbar	7,5E1 mbar
2021-05-15, 10:05:08	0 Hz	0 W	1E2 mbar	6,4E1 mbar
2021-05-15, 10:05:10	0 Hz	0 W	8,2E1 mbar	5,6E1 mbar
2021-05-15, 10:05:12	0 Hz	0 W	6,9E1 mbar	4,8E1 mbar
2021-05-15, 10:05:14	0 Hz	0 W	6E1 mbar	3,9E1 mbar
2021-05-15, 10:05:16	0 Hz	0 W	5,1E1 mbar	3,7E1 mbar
2021-05-15, 10:05:18	0 Hz	0 W	4E1 mbar	3,4E1 mbar
2021-05-15, 10:05:20	0 Hz	0 W	3,6E1 mbar	3E1 mbar
2021-05-15, 10:05:22	0 Hz	0 W	3,3E1 mbar	2,6E1 mbar
2021-05-15, 10:05:24	0 Hz	0 W	2,8E1 mbar	2,3E1 mbar
2021-05-15, 10:05:26	0 Hz	0 W	2,5E1 mbar	1,9E1 mbar
2021-05-15, 10:05:28	0 Hz	0 W	2E1 mbar	1,8E1 mbar
2021-05-15, 10:05:30	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2021-05-15, 10:05:32	0 Hz	0 W	1,7E1 mbar	1,5E1 mbar
