date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 10:55:28	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:30	1500 Hz	15 W	7E-6 mbar	1E-4 mbar
2021-05-15, 10:55:32	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:34	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:36	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:38	1500 Hz	14 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:40	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:42	1500 Hz	14 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:44	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:46	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:48	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:50	1500 Hz	15 W	6,9E-6 mbar	1E-4 mbar
2021-05-15, 10:55:52	1500 Hz	15 W	6,8E-6 mbar	1E-4 mbar
2021-05-15, 10:55:54	1500 Hz	15 W	6,8E-6 mbar	1E-4 mbar
2021-05-15, 10:55:56	1500 Hz	15 W	7,7E-6 mbar	1E-4 mbar
2021-05-15, 10:55:58	1500 Hz	15 W	8E-6 mbar	1E-4 mbar
2021-05-15, 10:56:00	1500 Hz	15 W	8E-6 mbar	1E-4 mbar
2021-05-15, 10:56:02	1500 Hz	15 W	8E-6 mbar	1E-4 mbar
2021-05-15, 10:56:04	1500 Hz	15 W	8E-6 mbar	1E-4 mbar
2021-05-15, 10:56:06	1500 Hz	15 W	8E-6 mbar	1E-4 mbar
2021-05-15, 10:56:08	1500 Hz	15 W	9,7E-6 mbar	1E-4 mbar
2021-05-15, 10:56:10	1500 Hz	15 W	1,3E-5 mbar	1E-4 mbar
2021-05-15, 10:56:12	1500 Hz	15 W	1,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:14	1500 Hz	16 W	1,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:16	1500 Hz	15 W	1,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:18	1500 Hz	15 W	1,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:20	1500 Hz	15 W	1,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:22	1500 Hz	15 W	1,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:24	1500 Hz	15 W	2E-5 mbar	1E-4 mbar
2021-05-15, 10:56:26	1500 Hz	15 W	2,3E-5 mbar	1E-4 mbar
2021-05-15, 10:56:28	1500 Hz	16 W	2,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:30	1500 Hz	15 W	2,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:32	1500 Hz	15 W	2,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:34	1500 Hz	15 W	2,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:36	1500 Hz	15 W	2,7E-5 mbar	1E-4 mbar
2021-05-15, 10:56:38	1500 Hz	16 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:40	1500 Hz	16 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:42	1500 Hz	16 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:44	1500 Hz	15 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:46	1500 Hz	15 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:48	1500 Hz	16 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:50	1500 Hz	15 W	3,1E-5 mbar	1E-4 mbar
2021-05-15, 10:56:52	1500 Hz	16 W	3,4E-5 mbar	1E-4 mbar
2021-05-15, 10:56:54	1500 Hz	15 W	3,5E-5 mbar	1E-4 mbar
2021-05-15, 10:56:56	1500 Hz	15 W	3,5E-5 mbar	1E-4 mbar
2021-05-15, 10:56:58	1500 Hz	15 W	3,5E-5 mbar	1E-4 mbar
2021-05-15, 10:57:00	1500 Hz	15 W	3,5E-5 mbar	1E-4 mbar
2021-05-15, 10:57:02	1500 Hz	16 W	3,5E-5 mbar	1E-4 mbar
2021-05-15, 10:57:04	1500 Hz	16 W	3,7E-5 mbar	1E-4 mbar
2021-05-15, 10:57:06	1500 Hz	16 W	3,9E-5 mbar	1E-4 mbar
2021-05-15, 10:57:08	1500 Hz	16 W	3,9E-5 mbar	1E-4 mbar
2021-05-15, 10:57:10	1500 Hz	15 W	3,9E-5 mbar	1E-4 mbar
2021-05-15, 10:57:12	1500 Hz	15 W	3,9E-5 mbar	1E-4 mbar
2021-05-15, 10:57:14	1500 Hz	15 W	3,9E-5 mbar	1E-4 mbar
2021-05-15, 10:57:16	1500 Hz	16 W	7,6E-5 mbar	1,5E-4 mbar
2021-05-15, 10:57:18	1500 Hz	16 W	1,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:20	1500 Hz	17 W	1,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:22	1500 Hz	17 W	1,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:24	1500 Hz	17 W	1,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:26	1500 Hz	16 W	1,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:28	1500 Hz	17 W	2E-4 mbar	2E-4 mbar
2021-05-15, 10:57:30	1500 Hz	17 W	2,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:32	1500 Hz	16 W	2,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:34	1500 Hz	17 W	2,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:36	1500 Hz	17 W	2,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:38	1500 Hz	17 W	2,4E-4 mbar	2E-4 mbar
2021-05-15, 10:57:40	1500 Hz	18 W	2,6E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:42	1500 Hz	18 W	2,7E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:44	1500 Hz	17 W	2,7E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:46	1500 Hz	17 W	2,7E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:48	1500 Hz	17 W	2,7E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:50	1500 Hz	17 W	2,7E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:52	1500 Hz	18 W	2,7E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:54	1500 Hz	18 W	2,9E-4 mbar	2,5E-4 mbar
2021-05-15, 10:57:56	1500 Hz	18 W	3E-4 mbar	3E-4 mbar
2021-05-15, 10:57:58	1500 Hz	18 W	3E-4 mbar	3E-4 mbar
2021-05-15, 10:58:00	1500 Hz	17 W	3E-4 mbar	3E-4 mbar
2021-05-15, 10:58:02	1500 Hz	17 W	3E-4 mbar	3E-4 mbar
2021-05-15, 10:58:04	1500 Hz	18 W	3E-4 mbar	3E-4 mbar
2021-05-15, 10:58:06	1500 Hz	18 W	3E-4 mbar	3E-4 mbar
2021-05-15, 10:58:08	1500 Hz	18 W	3,3E-4 mbar	3E-4 mbar
2021-05-15, 10:58:10	1500 Hz	18 W	3,4E-4 mbar	3E-4 mbar
