date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 10:13:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:13:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:14:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:15:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-05-15, 10:16:58	0 Hz	0 W	1E3 mbar	1E3 mbar
